Product ID,Date,Location,On Hand Qty,Unit Cost,On Hand Value
Product 1,6/2/2014,Whse 1,0,34.15,0
Product 1,6/2/2014,Whse 2,0,34.15,0
Product 1,6/2/2014,Whse 4,12,34.15,409.8
Product 1,6/2/2014,Whse 7,0,34.15,0
Product 1,6/2/2014,Whse 8,0,34.15,0
Product 1,6/4/2014,Whse 1,0,34.15,0
Product 1,6/4/2014,Whse 2,0,34.15,0
Product 1,6/4/2014,Whse 4,12,34.15,409.8
Product 1,6/4/2014,Whse 7,0,34.15,0
Product 1,6/4/2014,Whse 8,0,34.15,0
Product 1,6/5/2014,Whse 1,0,34.15,0
Product 1,6/5/2014,Whse 2,0,34.15,0
Product 1,6/5/2014,Whse 4,12,34.15,409.8
Product 1,6/5/2014,Whse 7,0,34.15,0
Product 1,6/5/2014,Whse 8,0,34.15,0
Product 1,6/6/2014,Whse 1,0,34.15,0
Product 1,6/6/2014,Whse 2,0,34.15,0
Product 1,6/6/2014,Whse 4,12,34.15,409.8
Product 1,6/6/2014,Whse 7,0,34.15,0
Product 1,6/6/2014,Whse 8,0,34.15,0
Product 1,6/9/2014,Whse 1,0,34.15,0
Product 1,6/9/2014,Whse 2,0,34.15,0
Product 1,6/9/2014,Whse 4,12,34.15,409.8
Product 1,6/9/2014,Whse 7,0,34.15,0
Product 1,6/9/2014,Whse 8,0,34.15,0
Product 1,6/10/2014,Whse 1,0,34.15,0
Product 1,6/10/2014,Whse 2,0,34.15,0
Product 1,6/10/2014,Whse 4,12,34.15,409.8
Product 1,6/10/2014,Whse 7,0,34.15,0
Product 1,6/10/2014,Whse 8,0,34.15,0
Product 1,6/11/2014,Whse 1,0,34.15,0
Product 1,6/11/2014,Whse 2,0,34.15,0
Product 1,6/11/2014,Whse 4,12,34.15,409.8
Product 1,6/11/2014,Whse 7,0,34.15,0
Product 1,6/11/2014,Whse 8,0,34.15,0
Product 1,6/12/2014,Whse 1,0,34.15,0
Product 1,6/12/2014,Whse 2,0,34.15,0
Product 1,6/12/2014,Whse 4,12,34.15,409.8
Product 1,6/12/2014,Whse 7,0,34.15,0
Product 1,6/12/2014,Whse 8,0,34.15,0
Product 1,6/13/2014,Whse 1,0,34.15,0
Product 1,6/13/2014,Whse 2,0,34.15,0
Product 1,6/13/2014,Whse 4,12,34.15,409.8
Product 1,6/13/2014,Whse 7,0,34.15,0
Product 1,6/13/2014,Whse 8,0,34.15,0
Product 1,6/16/2014,Whse 1,0,34.15,0
Product 1,6/16/2014,Whse 2,0,34.15,0
Product 1,6/16/2014,Whse 4,12,34.15,409.8
Product 1,6/16/2014,Whse 7,0,34.15,0
Product 1,6/16/2014,Whse 8,0,34.15,0
Product 1,6/17/2014,Whse 1,0,34.15,0
Product 1,6/17/2014,Whse 2,0,34.15,0
Product 1,6/17/2014,Whse 4,12,34.15,409.8
Product 1,6/17/2014,Whse 7,0,34.15,0
Product 1,6/17/2014,Whse 8,0,34.15,0
Product 1,6/18/2014,Whse 1,0,34.15,0
Product 1,6/18/2014,Whse 2,0,34.15,0
Product 1,6/18/2014,Whse 4,8,34.15,273.2
Product 1,6/18/2014,Whse 7,0,34.15,0
Product 1,6/18/2014,Whse 8,0,34.15,0
Product 1,6/19/2014,Whse 1,0,34.15,0
Product 1,6/19/2014,Whse 2,0,34.15,0
Product 1,6/19/2014,Whse 4,8,34.15,273.2
Product 1,6/19/2014,Whse 7,0,34.15,0
Product 1,6/19/2014,Whse 8,0,34.15,0
Product 1,6/20/2014,Whse 1,0,34.15,0
Product 1,6/20/2014,Whse 2,0,34.15,0
Product 1,6/20/2014,Whse 4,4,34.15,136.6
Product 1,6/20/2014,Whse 7,0,34.15,0
Product 1,6/20/2014,Whse 8,0,34.15,0
Product 1,6/23/2014,Whse 1,0,34.15,0
Product 1,6/23/2014,Whse 2,0,34.15,0
Product 1,6/23/2014,Whse 4,4,34.15,136.6
Product 1,6/23/2014,Whse 7,0,34.15,0
Product 1,6/23/2014,Whse 8,0,34.15,0
Product 1,6/24/2014,Whse 1,0,34.15,0
Product 1,6/24/2014,Whse 2,0,34.15,0
Product 1,6/24/2014,Whse 4,4,34.15,136.6
Product 1,6/24/2014,Whse 7,0,34.15,0
Product 1,6/24/2014,Whse 8,0,34.15,0
Product 1,6/25/2014,Whse 1,0,34.15,0
Product 1,6/25/2014,Whse 2,0,34.15,0
Product 1,6/25/2014,Whse 4,4,34.15,136.6
Product 1,6/25/2014,Whse 7,0,34.15,0
Product 1,6/25/2014,Whse 8,0,34.15,0
Product 1,6/26/2014,Whse 1,0,34.15,0
Product 1,6/26/2014,Whse 2,0,34.15,0
Product 1,6/26/2014,Whse 4,4,34.15,136.6
Product 1,6/26/2014,Whse 7,0,34.15,0
Product 1,6/26/2014,Whse 8,0,34.15,0
Product 1,6/27/2014,Whse 1,0,34.15,0
Product 1,6/27/2014,Whse 2,0,34.15,0
Product 1,6/27/2014,Whse 4,4,34.15,136.6
Product 1,6/27/2014,Whse 7,0,34.15,0
Product 1,6/27/2014,Whse 8,0,34.15,0
Product 1,6/30/2014,Whse 1,0,34.15,0
Product 1,6/30/2014,Whse 2,0,34.15,0
Product 1,6/30/2014,Whse 4,4,34.15,136.6
Product 1,6/30/2014,Whse 7,0,34.15,0
Product 1,6/30/2014,Whse 8,0,34.15,0
Product 5,6/2/2014,Whse 1,11,34.15,375.65
Product 5,6/2/2014,Whse 2,0,34.15,0
Product 5,6/2/2014,Whse 4,67,34.15,2288.05
Product 5,6/2/2014,Whse 7,0,34.15,0
Product 5,6/2/2014,Whse 8,0,34.15,0
Product 5,6/4/2014,Whse 1,11,34.15,375.65
Product 5,6/4/2014,Whse 2,0,34.15,0
Product 5,6/4/2014,Whse 4,67,34.15,2288.05
Product 5,6/4/2014,Whse 7,0,34.15,0
Product 5,6/4/2014,Whse 8,0,34.15,0
Product 5,6/5/2014,Whse 1,11,34.15,375.65
Product 5,6/5/2014,Whse 2,0,34.15,0
Product 5,6/5/2014,Whse 4,67,34.15,2288.05
Product 5,6/5/2014,Whse 7,0,34.15,0
Product 5,6/5/2014,Whse 8,0,34.15,0
Product 5,6/6/2014,Whse 1,11,34.15,375.65
Product 5,6/6/2014,Whse 2,0,34.15,0
Product 5,6/6/2014,Whse 4,63,34.15,2151.45
Product 5,6/6/2014,Whse 7,0,34.15,0
Product 5,6/6/2014,Whse 8,0,34.15,0
